url_wiki,name
"http://wiki.kpi.ua/index.php/Діагностика та оцінка якості інформаційних систем_(20102010)","Діагн. ІС"
"http://wiki.kpi.ua/index.php/Проектування комплексних систем захисту інформації_(20102010)","Проек. с-м захисту інф."
"http://wiki.kpi.ua/index.php/Інженерна педагогіка_(20103340)","Інж. педагогіка"
"http://wiki.kpi.ua/index.php/Математичні методи оптимізації в управлінні_(20102010)","Математичні методи оптимізації в управлінні"
"http://wiki.kpi.ua/index.php/Програмування вбудованих систем_(20102010)","Програм. вбудованих систем"
"http://wiki.kpi.ua/index.php/Вища математика - 1. Лінійна алгебра та аналітична геометрія. Диференціальне та інтегральне числення функцій однієї змінної_(20103240)","Вища мат. 1"
"http://wiki.kpi.ua/index.php/Фізика-1. Загальна фізика І_(20103220)","Фізика"
"http://wiki.kpi.ua/index.php/Програмування - 1. Основи програмування_(20102010)","Програм.-1. Осн.прогр."
"http://wiki.kpi.ua/index.php/Практичний курс іноземної мови 1_(20102830)","Іноз-мова-1."
"http://wiki.kpi.ua/index.php/Формування мотивації до здорового способу життя_(20103570)","Фізичне виховання"
"http://wiki.kpi.ua/index.php/Операційні системи_(20102010)","Опер. системи"
"http://wiki.kpi.ua/index.php/Спеціальні розділи математики-1. Дискретна математика_(20102010)","Дискретна матем."
"http://wiki.kpi.ua/index.php/Історія науки і техніки_(20103310)","Історія"
